noreg,tanggal_record,plan,aktual,reject,persentase,hadir,keterangan
2603131,2026-05-28,0,0,0,,✔,"melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air setelah ladle sudah siap repair lalu memotong beton neser buat stik slag dan melakukan perbantuan area melting; melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air setelah ladle sudah siap repair lalu memotong beton neser buat stik slag sehabis memotong beton neser lalu melakukan perbantuan di area melting"
2605012,2026-05-29,12,12,0,100.0,✔,Tidak ada
2605011,2026-05-28,35,35,2,100.0,✔,Tidak ada
2605033,2026-05-29,15,15,0,100.0,✔,tidak ada
2605045,2026-05-29,0,1,0,100.0,✔,tidak ada
2605046,2026-05-29,0,10,0,100.0,✔,
2605044,2026-05-29,13,13,0,100.0,✔,tidak ada
2605041,2026-05-29,65,61,4,93.85,✔,
2605039,2026-05-29,15,15,0,100.0,✔,Tidak ada
2604144,2026-05-29,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX.
6. Membuat jadwal produksi"
2601190,2026-05-29,0,70,0,100.0,✔,
2605018,2026-05-29,170,165,5,97.06,✔,Tidak ada
2601176,2026-05-29,0,0,0,,✔,Time management
2602168,2026-05-29,0,37,0,100.0,✔,
2605047,2026-05-29,22,22,0,100.0,✔,tidak ada
2605011,2026-05-29,52,52,0,100.0,✔,Tidak ada
2603130,2026-05-28,115,52,0,45.22,✔,"full amplas galah karat sebelum proses, amplas kurang lebih 1 pcs nya butuh waktu 15 menit sampai bersih, laser marking, plasma cutting, burrying moving Galah 6M D38 (12 pcs) D33 (40 pcs), assembly."
2603143,2026-05-29,0,25,0,100.0,✔,
2605043,2026-05-29,190,190,0,100.0,✔,
2605040,2026-05-28,30,28,0,93.33,✔,
2605040,2026-05-29,20,18,0,90.0,✔,
2602002,2026-05-29,15,17,0,113.33,✔,
2605033,2026-05-30,30,30,0,100.0,✔,tidak ada
2603131,2026-05-29,0,0,0,,✔,"melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air setelah ladle sudah siap repair lalu memotong beton neser dan membuat stik aluminium"
2603131,2026-05-30,0,0,0,,✔,"Memindahkan ladle steel dan fcd dari area melting ke area ladle dengan forklift,lalu melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air setelah ladle sudah siap repair lalu melakukan repair spout furnace 5ton"
2605012,2026-05-30,30,30,0,100.0,✔,Tidak ada
2602006,2026-05-29,45,45,0,100.0,✔,
2602006,2026-05-30,180,200,0,111.11,✔,
2605044,2026-05-30,22,22,0,100.0,✔,tidak ada
2605046,2026-05-30,0,70,5,100.0,✔,
2605039,2026-05-30,22,22,0,100.0,✔,Tidak ada
2602168,2026-05-30,0,9,0,100.0,✔,
2601176,2026-05-30,0,0,0,,✔,Time management
2605042,2026-05-28,0,12,0,100.0,✔,
2605042,2026-05-29,0,54,0,100.0,✔,
2605042,2026-05-30,0,10,0,100.0,✔,
2605043,2026-05-30,41,41,0,100.0,✔,
2605045,2026-05-30,0,0,0,,✔,tidak ada
2603130,2026-05-29,115,53,0,46.09,✔,"Full menggosok material karat D33/D38 6M, laser marking, plasma cutting, burrying moving D33 (35 pcs) D38  (18 pcs), packing 13 koli."
2605018,2026-05-30,25,25,1,100.0,✔,Tidak ada
2605047,2026-05-30,15,15,0,100.0,✔,Tidak ada
2601190,2026-05-30,0,15,0,100.0,✔,
2603146,2026-06-29,140,140,9,100.0,✔,"Pengecekan Pasir
Perbantuan area FBO naikan pasir

Kendala
Stock pasir di sand tank tinggal sedikit; Pengecekan Pasir 

Kendala : 
-Cetak bracket pattern nyantol"
2605046,2026-06-01,80,29,2,36.25,✔,tidak ada
2605044,2026-06-02,25,25,0,100.0,✔,tidak ada
2605045,2026-06-02,0,12,1,100.0,✔,tidak ada
2605039,2026-06-02,15,15,0,100.0,✔,Tidak ada
2602168,2026-06-02,0,49,0,100.0,✔,
2605011,2026-06-02,52,52,5,100.0,✔,Tidak ada
2605042,2026-06-02,0,28,0,100.0,✔,
2605040,2026-05-30,28,28,0,100.0,✔,
2605040,2026-06-02,20,20,0,100.0,✔,
2601176,2026-06-02,0,0,0,,✔,Time management
2603155,2026-06-02,0,0,0,,✔,"Daily Report Maintenance
2 Juni 2026
Ayu agustina
Admin Maintenance
- menyelesaikan stok opname akhir bulan
-menerima barang datang
-menjalankan barcode saat pengeluaran barang
-membersihkan area gudang sperpat
-merapikan rak2 gudang sperpat"
2604144,2026-06-02,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2605041,2026-06-02,92,92,0,100.0,✔,
2605033,2026-06-02,24,24,0,100.0,✔,tidak ada
2603131,2026-06-02,0,0,0,,✔,"lalu melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air setelah ladle sudah siap repair lalu melakukan pemindahan ladle ke burner dengan menggunakan forklift,lalu ladle yang akan dibuat masak akan di burner,sehabis ngeburner ladle lalu melakukan perbantuan di area melting 5R dan memotong beton neser buat stik slag"
2601190,2026-06-02,0,13,0,100.0,✔,
2605012,2026-06-03,88,88,0,100.0,✔,Tidak ada
2602006,2026-06-02,15,15,0,100.0,✔,
2602006,2026-06-03,200,248,0,124.0,✔,
2605047,2026-06-02,0,14,0,100.0,✔,Tidak ada
2605046,2026-06-03,0,35,0,100.0,✔,
2605044,2026-06-03,15,15,0,100.0,✔,tidak ada
2605039,2026-06-03,30,30,0,100.0,✔,Tidak ada
